record_id,operational_status,organization_type,name,acronym,name_alphabetized,url,alternate_or_former_names,alternate_or_former_acronyms,principal_officer_title,principal_officer_full_name,principal_officer_first_name,principal_officer_last_name,principal_officer_contact_url,reports_to,in_org_chart,listed_in_nyc_gov_agency_directory
NYC_GOID_000202,Active,Nonprofit Organization,Gracie Mansion Conservancy,,Gracie Mansion Conservancy,https://www.graciemansion.org/,,,Executive Director,Andrea Shapiro Davis,Andrea,Davis,,Chief of Staff,true,true
NYC_GOID_000061,Active,Nonprofit Organization,Bronx Museum of the Arts,,"Museum of the Arts, Bronx",https://www.bronxmuseum.org/,,,Director & Chief Curator,Shamim M. Momin,Shamim,Momin,,,false,false
NYC_GOID_000071,Active,Nonprofit Organization,Lincoln Center Theater,LCT,Lincoln Center Theater,https://www.lct.org/,,,Artistic Director,Kewsong Lee,Kewsong,Lee,,,false,false
NYC_GOID_000215,Active,Public Benefit or Development Organization,Housing Development Corporation,NYC HDC,Housing Development Corporation,https://www.nychdc.com/,,,President,Eric Enderlin,Eric,Enderlin,https://www.nychdc.com/contact,Deputy Mayor of Housing Economic and Workforce Development,true,true
NYC_GOID_000125,Active,Public Benefit or Development Organization,Convention Center Development Corporation,CCDC,Convention Center Development Corporation,https://esd.ny.gov/new-york-convention-center-development-corporation-0,,,President,Rebecca Pellegrini,Rebecca,Pellegrini,,,false,false
NYC_GOID_000433,Active,Advisory or Regulatory Organization,Taskforce on Racial Inclusion and Equity,TRIE,"Racial Inclusion and Equity, Taskforce on",https://www.nyc.gov/site/trie/index.page,,,,,,,,,false,true
NYC_GOID_000437,Active,Pension Fund,Teachers' Retirement System of City of New York,TRS,Teachers' Retirement System of City of New York,https://www.trsnyc.org,,,Executive Director,Patricia Reilly,Patricia,Reilly,https://www.trsnyc.org/memberportal/Resources/ResContactUs,,false,true
NYC_GOID_000171,Active,Elected Office,Queens District Attorney's Office,,"District Attorney's Office, Queens",https://queensda.org/,Queens County District Attorney's Office,,District Attorney,Melinda Katz,Melinda,Katz,https://queensda.org/contact-us/,,true,true
NYC_GOID_000064,Active,Nonprofit Organization,Brooklyn Children's Museum,BCM,"Children's Museum, Brooklyn",https://www.brooklynkids.org/,,,President and CEO,Atiba T. Edwards,Atiba,Edwards,,,false,false
NYC_GOID_000130,Active,Pension Fund,Cultural Institutions Retirement System,CIRS,Cultural Institutions Retirement System,https://cirsplans.org/,,,Executive Director,Richard Scheer,Richard,Scheer,,,false,true
NYC_GOID_000196,Active,Public Benefit or Development Organization,Forest Park Trust,,Forest Park Trust,https://forestparktrust.org/,,,,,,,,,false,false
NYC_GOID_000319,Active,Public Benefit or Development Organization,New York City Housing Authority,NYCHA,"Housing Authority, New York City",https://www.nyc.gov/site/nycha/index.page,,,Chief Executive Officer,Lisa Bova-Hiatt,Lisa,Bova-Hiatt,https://www.nyc.gov/site/nycha/about/contact.page,Deputy Mayor for Housing and Planning,true,true
NYC_GOID_000014,Active,Advisory or Regulatory Organization,"Archives, Reference and Research Advisory Board",ARRAB,"Archives, Reference and Research Advisory Board",https://www.nyc.gov/site/records/about/archives-reference-and-research-advisory-board.page,,,,,,,,,false,false
NYC_GOID_000113,Active,Advisory or Regulatory Organization,Commission on Racial Equity,CORE,"Racial Equity, Commission on",https://www.nyc.gov/content/core/pages/,,,Chair & Executive Director,Linda Tigani,Linda,Tigani,https://www.nyc.gov/content/core/pages/contact-us,Deputy Mayor for Economic Justice,true,true
NYC_GOID_100006,Active,Division,Mayor's Office of Urban Agriculture,MOUA,"Urban Agriculture, Mayor's Office of",https://www1.nyc.gov/site/agriculture/index.page,,,Director,Qiana Mickie,Qiana,Mickie,https://www.nyc.gov/site/agriculture/contact/contact.page,Mayor's Office of Climate and Environmental Justice,true,true
NYC_GOID_000079,Active,Nonprofit Organization,New York City Center,,New York City Center,https://www.nycitycenter.org/,,,President & CEO,Michael S. Rosenberg,Michael,Rosenberg,,,false,false
NYC_GOID_100018,Active,Mayoral Office,Mayor's Office to Prevent Gun Violence,OPGV,"Prevent Gun Violence, Mayor's Office to",https://www1.nyc.gov/site/peacenyc/index.page,,,,Jessica Mofield,Jessica,Mofield,,First Deputy Mayor,false,true
NYC_GOID_000068,Active,Nonprofit Organization,Flushing Council on Culture and the Arts / Flushing Town Hall,,Flushing Council on Culture and the Arts / Flushing Town Hall,https://www.flushingtownhall.org/,Flushing Town Hall,,Executive and Artistic Director,Ellen Kodadek,Ellen,Kodadek,,,false,false
NYC_GOID_000260,Active,Mayoral Office,Mayor's Office of Appointments,,"Appointments, Mayor's Office of",https://www.nyc.gov/content/appointments/pages/,,,Director,Stephanie Silkowski,Stephanie,Silkowski,,Chief of Staff,true,true
NYC_GOID_000078,Active,Nonprofit Organization,New York City Ballet,,"Ballet, New York City",https://www.nycballet.com/,,,Executive Director,Katherine E. Brown,Katherine,Brown,,,false,false
NYC_GOID_000060,Active,Nonprofit Organization,Bronx County Historical Society,,"Historical Society, Bronx County",https://bronxhistoricalsociety.org,,,CEO,Gary Hermalyn,Gary,Hermalyn,,,false,false
NYC_GOID_000080,Active,Nonprofit Organization,New York Hall of Science,NYSCI,"Hall of Science, New York",https://nysci.org/,,,CEO and President,Lisa J. Gugenheim,Lisa,Gugenheim,,,false,false
NYC_GOID_000314,Active,Advisory or Regulatory Organization,New York City Districting Commission,,"Districting Commission, New York City",https://www.nyc.gov/site/districting/index.page,,,,,,,,,false,true
NYC_GOID_000280,Active,Mayoral Office,Mayor's Office of Strategic Partnerships,OSP,"Strategic Partnerships, Mayor's Office of",https://www.nyc.gov/site/partnerships/index.page,,,Executive Director,,,,https://www.nyc.gov/site/partnerships/contact/contact-strategic-partnerships.page,,false,true
NYC_GOID_000023,Active,Advisory or Regulatory Organization,Board of Elections,BOE,"Elections, Board of",https://vote.nyc/,,,Executive Director,Michael J. Ryan,Michael,Ryan,https://vote.nyc/page/contact-us,,false,true
NYC_GOID_000259,Active,Division,Mayor's Office of Animal Welfare,MOAW,"Animal Welfare, Mayor's Office of",https://www.nyc.gov/site/animalwelfare/index.page,,,Director,Alexandra Silver,Alexandra,Silver,https://www.nyc.gov/site/animalwelfare/about/contact-us.page,Mayor's Community Affairs Unit,true,true
NYC_GOID_000389,Active,Mayoral Agency,New York City Police Department,NYPD,"Police Department, New York City",https://www.nyc.gov/site/nypd/index.page,Police Department,,Commissioner,Jessica Tisch,Jessica,Tisch,https://www.nyc.gov/site/nypd/about/about-nypd/email-the-commissioner.page,First Deputy Mayor,true,true
NYC_GOID_000192,Active,Pension Fund,Fire Department Pension Fund and Related Funds,,Fire Department Pension Fund and Related Funds,https://nycfirepension.org/,,,Executive Director,LeRoy McGinnis,LeRoy,McGinnis,,,false,true
NYC_GOID_000091,Active,Nonprofit Organization,Studio Museum in Harlem,,Studio Museum in Harlem,https://studiomuseum.org/,,,Ford Foundation Director and Chief Curator,Thelma Golden,Thelma,Golden,,,false,false
NYC_GOID_000021,Active,Advisory or Regulatory Organization,Board of Correction,BOC,"Correction, Board of",https://www.nyc.gov/site/boc/index.page,,,Executive Director,Jasmine Georges-Yilla,Jasmine,Georges-Yilla,https://www.nyc.gov/site/boc/about/contact-the-executive-director.page,,false,true
NYC_GOID_000143,Active,Mayoral Agency,New York City Public Schools,NYCPS,"Public Schools, New York City",https://www.schools.nyc.gov/,Department of Education;NYC Public Schools,DOE,Chancellor,Kamar Samuels,Kamar,Samuels,https://www.schools.nyc.gov/get-help,First Deputy Mayor,true,true
NYC_GOID_000029,Active,Elected Office,Office of the Borough President of Queens,,"Borough President, Queens",https://www.queensbp.nyc.gov/,,,Queens Borough President,Donovan J. Richards Jr.,Donovan,Richards,https://www.queensbp.nyc.gov/,,true,true
NYC_GOID_000216,Active,Mayoral Agency,Department of Housing Preservation and Development,HPD,"Housing Preservation and Development, Department of",https://www.nyc.gov/site/hpd/index.page,Housing Preservation and Development,,Commissioner,Dina Levy,Dina,Levy,https://www.nyc.gov/site/hpd/contact/email-the-commissioner.page,Deputy Mayor for Housing and Planning,true,true
NYC_GOID_000094,Active,Nonprofit Organization,Wildlife Conservation Society,WCS,Wildlife Conservation Society,https://www.wcs.org/,,,President and CEO,Adam F. Falk,Adam,Falk,,,false,false
NYC_GOID_000214,Active,Advisory or Regulatory Organization,HIV/AIDS Services Advisory Board,HASA,HIV/AIDS Services Advisory Board,https://www1.nyc.gov/site/hra/help/hiv-aids-services.page,,,,,,,,,false,false
NYC_GOID_000248,Active,Nonprofit Organization,Mayor's Fund to Advance New York City,,Mayor's Fund to Advance New York City,https://www.nyc.gov/site/fund/index.page,,,Executive Director,Kate Smith,Kate,Smith,https://www.nyc.gov/site/fund/about/contact.page,Chief of Staff,true,true
NYC_GOID_000222,Active,Advisory or Regulatory Organization,Independent Budget Office,IBO,Independent Budget Office,https://www.ibo.nyc.ny.us/,,,Director,Louisa Chafee,Louisa,Chafee,https://www.ibo.nyc.ny.us/aboutStaffDirectory.html,,true,true
NYC_GOID_000177,Active,Public Benefit or Development Organization,Economic Development Corporation,NYCEDC,Economic Development Corporation,https://edc.nyc/,,,President and CEO,Andrew Kimball,Andrew,Kimball,https://edc.nyc/contact-us,Deputy Mayor for Economic Justice,true,true
NYC_GOID_000085,Active,Nonprofit Organization,Queens Theatre in the Park,,"Theatre in the Park, Queens",https://queenstheatre.org/,,,Executive Director,Taryn Sacramone,Taryn,Sacramone,,,false,false
NYC_GOID_000418,Active,Advisory or Regulatory Organization,Senior Advisory Council,,Senior Advisory Council,https://www1.nyc.gov/site/dfta/about/advisory-council.page,,,,,,,,,false,false
NYC_GOID_000395,Active,State Government Agency,Bronx County Public Administrator,,"Public Administrator, Bronx County",https://www.nyc.gov/site/bronxpa/index.page,,,Public Administrator,Danielle S. Powell,Danielle,Powell,https://www.nyc.gov/site/bronxpa/contact/contact.page,,false,true
NYC_GOID_000283,Active,Mayoral Office,Mayor's Office of Youth Employment,MOYE,"Youth Employment, Mayor's Office of",https://www.nyc.gov/site/youthemployment/index.page,,,,,,,,,false,true
NYC_GOID_000270,Active,Mayoral Office,Mayor's Office of Immigrant Affairs,MOIA,"Immigrant Affairs, Mayor's Office of",https://www.nyc.gov/site/immigrants/index.page,,,Commissioner,Faiza Ali,Faiza,Ali,https://www.nyc.gov/site/immigrants/about/contact-us.page,Deputy Mayor for Economic Justice,true,true
NYC_GOID_100023,Active,Advisory or Regulatory Organization,Tax Appeals Tribunal,,Tax Appeals Tribunal,https://www1.nyc.gov/site/taxappeals/index.page,,,,,,,,,false,true
NYC_GOID_000140,Active,Mayoral Agency,Department of Correction,DOC,"Correction, Department of",https://www.nyc.gov/site/doc/index.page,,,Commissioner,Stanley Richards,Stanley,Richards,https://www.nyc.gov/site/doc/about/contact-the-commissioner.page,First Deputy Mayor,true,true
NYC_GOID_000251,Active,Elected Office,Office of the Mayor,OM,"Mayor, Office of the",https://www.nyc.gov/mayors-office,Office of the Mayor of the City of New York;Mayor's Office,,Mayor,Zohran K. Mamdani,Zohran,Mamdani,https://www.nyc.gov/mayors-office/contact-the-mayor,,true,true
NYC_GOID_000142,Active,Mayoral Agency,Department of Design and Construction,DDC,"Design and Construction, Department of",https://www.nyc.gov/site/ddc/index.page,,,Commissioner,Paul Ochoa,Paul,Ochoa,https://www.nyc.gov/site/ddc/about/contact-form.page?recipient=Paul%20A.%20Ochoa,Deputy Mayor for Operations,true,true
NYC_GOID_000245,Active,Advisory or Regulatory Organization,Mayor's Advisory Committee on the Judiciary,MACJ,"Judiciary, Mayor's Advisory Committee on the",https://www1.nyc.gov/site/macj/index.page,,,Chair,Ali Najmi,Ali,Najmi,https://www.nyc.gov/site/macj/about/contact-acj.page,Chief Counsel to the Mayor and City Hall,true,true
NYC_GOID_000077,Active,Nonprofit Organization,New York Botanical Garden,NYBG,"Botanical Garden, New York",https://www.nybg.org/,,,CEO & The William C. Steere Sr. President,Jennifer Bernstein,Jennifer,Bernstein,,,false,false
NYC_GOID_000123,Active,Elected Office,Office of the New York City Comptroller,,"Comptroller, Office of the New York City",https://comptroller.nyc.gov/,Comptroller,,Comptroller,Mark Levine,Mark,Levine,https://comptroller.nyc.gov/about/contact-our-office/,,true,true
NYC_GOID_000281,Active,Mayoral Office,Mayor's Office of Talent and Workforce Development,NYC Talent,"Talent and Workforce Development, Mayor's Office of",https://www.nyc.gov/site/wkdev/index.page,,,Executive Director,Doug Lipari,Doug,Lipari,https://www.nyc.gov/site/wkdev/about/contact.page,Deputy Mayor for Economic Justice,true,true
NYC_GOID_000136,Active,Mayoral Agency,Department of Buildings,DOB,"Buildings, Department of",https://www.nyc.gov/site/buildings/index.page,,,Commissioner,Ahmed Tigani,Ahmed,Tigani,https://www.nyc.gov/assets/home/mail/html/maildob.html,Deputy Mayor for Housing and Planning,true,true
NYC_GOID_000312,Active,Mayoral Office,New York City Children's Cabinet,,"Children's Cabinet, New York City",https://www.nyc.gov/site/childrenscabinet/index.page,,,Executive Director,Ahsia Badi,Ahsia,Badi,https://www.nyc.gov/site/childrenscabinet/contact-us/contact-us.page,First Deputy Mayor,true,true
NYC_GOID_000118,Active,Advisory or Regulatory Organization,Community Boards,CB,Community Boards,https://www.nyc.gov/site/communityboards/index.page,,,,,,,https://www.nyc.gov/site/cau/community-boards/community-boards.page,,false,true
NYC_GOID_000027,Active,Elected Office,Office of the Borough President of Brooklyn,,"Borough President, Brooklyn",https://www.brooklynbp.nyc.gov/,,,Brooklyn Borough President,Antonio Reynoso,Antonio,Reynoso,https://www.brooklynbp.nyc.gov/contact/,,true,true
NYC_GOID_100009,Active,Division,Office of the City Clerk,,"City Clerk, Office of the",https://www.cityclerk.nyc.gov/content/,,,City Clerk and Clerk of the Council,Michael McSweeney,Michael,McSweeney,,City Council,true,true
NYC_GOID_000093,Active,Nonprofit Organization,Weeksville Heritage Center,,Weeksville Heritage Center,https://www.weeksvillesociety.org/,,,CEO,Raymond Codrington,Raymond,Codrington,,,false,false
NYC_GOID_100003,Active,Division,Unity Project,UP,Unity Project,https://www.nyc.gov/content/unityproject/pages/,NYC Unity Project,,Director,Ronald Porcelli,Ronald,Porcelli,https://www.nyc.gov/content/unityproject/pages/contact,Mayor's Office of Equity and Racial Justice,true,true
NYC_GOID_000465,Active,Nonprofit Organization,Perelman Performing Arts Center,PACNYC,Perelman Performing Arts Center,https://pacnyc.org/,World Trade Center Performing Arts Center;PAC NYC,,Executive Director,Khady Kamara Nunez,Khady,Nunez,,,false,false
NYC_GOID_100014,Active,Public Benefit or Development Organization,Build NYC Resource Corporation,,BuildNYC,https://edc.nyc/build-nyc,Build NYC,,,,,,,,false,false
NYC_GOID_000086,Active,Nonprofit Organization,Snug Harbor Cultural Center and Botanical Garden,,Snug Harbor Cultural Center and Botanical Garden,https://snug-harbor.org/,,,President & CEO,Jessica Baker Vodoor,Jessica,Baker Vodoor,,,false,false
NYC_GOID_000154,Active,Mayoral Agency,Department of Social Services,DSS,"Social Services, Department of",https://www.nyc.gov/site/dss/index.page,,,Commissioner,Erin Dalton,Erin,Dalton,https://www.nyc.gov/site/hra/about/email-the-commissioner.page,Deputy Mayor for Health and Human Services,true,true
NYC_GOID_000119,Active,Advisory or Regulatory Organization,Community Services Board,CSB,Community Services Board,https://www.nyc.gov/site/doh/health/health-topics/mh-community-services-board.page,,,,,,,,,false,false
NYC_GOID_000185,Active,Advisory or Regulatory Organization,Equal Employment Practices Commission,EEPC,Equal Employment Practices Commission,https://www.nyc.gov/site/eepc/index.page,Equal Employment Opportunity,,Executive Director,Jeanne M. Victor,Jeanne,Victor,https://www.nyc.gov/site/eepc/about/email-the-executive-director.page,Mayor,true,true
NYC_GOID_000037,Active,Public Benefit or Development Organization,Brooklyn Navy Yard Development Corporation,BNYDC,Brooklyn Navy Yard Development Corporation,https://www.brooklynnavyyard.org/,,,Chief Executive Officer & President,Lindsay Greene,Lindsay,Greene,https://www.brooklynnavyyard.org/,,false,false
NYC_GOID_000325,Active,Public Benefit or Development Organization,New York City Public Housing Preservation Trust,,"Public Housing Preservation Trust, New York City",https://www.preservationtrust.org/,,,President,Vlada Kenniff,Vlada,Kenniff,,,false,false
NYC_GOID_000397,Active,Advisory or Regulatory Organization,Public Design Commission,PDC,Public Design Commission,https://www.nyc.gov/site/designcommission/index.page,Art Commission,,Executive Director,Erich Bilal,Erich,Bilal,https://www.nyc.gov/site/designcommission/about/people/contact.page,Deputy Mayor for Housing and Planning,true,true
NYC_GOID_000385,Active,Mayoral Office,Mayor's Office for Prevention of Hate Crimes,OPHC,"Prevention of Hate Crimes, Mayor's Office for the",https://www.nyc.gov/site/stophate/index.page,,,Executive Director,Vijah Ramjattan,Vijah,Ramjattan,https://www.nyc.gov/site/stophate/about/contact-us.page,First Deputy Mayor,false,true
NYC_GOID_000002,Active,Mayoral Agency,Administration for Children's Services,ACS,"Children's Services, Administration for",https://www.nyc.gov/site/acs/index.page,,,Commissioner,Rebecca Jones Gaston,Rebecca,Jones Gaston,https://www.nyc.gov/site/acs/about/contact-acs.page,Deputy Mayor for Health and Human Services,true,true
NYC_GOID_000390,Active,Pension Fund,New York City Police Pension Fund,PPF,"Police Pension Fund, New York City",https://www.nyc.gov/content/nycppf/pages/,,,Executive Director,Kevin Holloran,Kevin,Holloran,https://www.nyc.gov/content/nycppf/pages/contact-the-fund,,false,true
NYC_GOID_000456,Active,Advisory or Regulatory Organization,Veterans Advisory Board,VAB,Veterans Advisory Board,https://www1.nyc.gov/site/veterans/community/veterans-advisory-board.page,,,,,,,,,false,false
NYC_GOID_000172,Active,Elected Office,Staten Island District Attorney's Office,,"District Attorney's Office, Staten Island",https://www.statenislandda.org/,Richmond County District Attorney's Office,,District Attorney,Michael E. McMahon,Michael,McMahon,https://www.statenislandda.org/contact/,,true,true
NYC_GOID_000155,Active,Division,Department of Homeless Services,DHS,"Homeless Services, Department of",https://www.nyc.gov/site/dhs/index.page,,,Administrator,Joslyn Carter,Joslyn,Carter,https://www.nyc.gov/assets/home/mail/html/maildhs.html,Deputy Mayor for Health and Human Services,true,true
NYC_GOID_000105,Active,Advisory or Regulatory Organization,Civilian Complaint Review Board,CCRB,Civilian Complaint Review Board,https://www.nyc.gov/site/ccrb/index.page,,,Executive Director,Jonathan Darche,Jonathan,Darche,https://www.nyc.gov/site/ccrb/about/contact/email-executive-director.page,Chief Counsel to the Mayor and City Hall,true,true
NYC_GOID_000069,Active,Nonprofit Organization,Jamaica Center for Arts and Learning,JCAL,Jamaica Center for Arts and Learning,https://www.jcal.org/,,,Executive Director,Leonard Jacobs,Leonard,Jacobs,,,false,false
NYC_GOID_000087,Active,Nonprofit Organization,Staten Island Children's Museum,,"Children's Museum, Staten Island",https://www.sichildrensmuseum.org/,,,Executive Director,Dina Rosenthal,Dina,Rosenthal,,,false,false
NYC_GOID_000088,Active,Nonprofit Organization,Staten Island Historical Society,,"Historical Society, Staten Island",https://www.historicrichmondtown.org/,,,Chief Executive Officer,Jessica B. Phillips,Jessica,Phillips,,,false,false
NYC_GOID_000278,Active,Mayoral Office,Mayor's Office of Special Projects and Community Events,MOSPCE,"Special Projects and Community Events, Mayor's Office of",https://www.nyc.gov/site/mospce/index.page,,,Executive Director,Trey Moynihan,Trey,Moynihan,https://www.nyc.gov/content/mospce/pages/contact-us,Chief of Staff,true,true
NYC_GOID_000149,Active,Mayoral Agency,Department of Parks and Recreation,DPR,"Parks and Recreation, Department of",https://www.nycgovparks.org/,NYC Parks,Parks,Commissioner,Tricia Shimamura,Tricia,Shimamura,https://www.nyc.gov/assets/home/mail/html/maildpr.html,Deputy Mayor for Operations,true,true
NYC_GOID_000235,Active,Public Benefit or Development Organization,Land Development Corporation,NYCLDC,Land Development Corporation,https://www.nycldc.com/,,,President,Jeanny Pak,Jeanny,Pak,,,false,false
NYC_GOID_000458,Active,Advisory or Regulatory Organization,Voter Assistance Advisory Committee,VAAC,Voter Assistance Advisory Committee,https://nyccfb.info/about/vaac,,,,,,,,,false,false
NYC_GOID_000253,Active,Mayoral Office,Mayor's Office to End Domestic and Gender-Based Violence,ENDGBV,"End Domestic and Gender-Based Violence, Mayor's Office to",https://www.nyc.gov/site/ocdv/index.page,Mayor's Office to Combat Domestic Violence,,Commissioner,Saloni Sethi,Saloni,Sethi,https://www.nyc.gov/site/ocdv/about/contact-endgbv.page,Deputy Mayor for Health and Human Services,true,true
NYC_GOID_000066,Active,Nonprofit Organization,Carnegie Hall,,Carnegie Hall,https://www.carnegiehall.org/,,,Executive and Artistic Director,Sir Clive Gillinson,Clive,Gillinson,,,false,false
NYC_GOID_000405,Active,Nonprofit Organization,Randall's Island Park Alliance,RIPA,Randall's Island Park Alliance,https://randallsisland.org/,,,President,Deborah Maher,Deborah,Maher,,,false,false
NYC_GOID_100026,Active,Advisory or Regulatory Organization,Youth Board,,Youth Board,https://www.nyc.gov/site/dycd/involved/boards-and-councils/nyc-youth-board.page,,,,,,,,,false,false
NYC_GOID_000174,Active,Advisory or Regulatory Organization,Domestic Violence Fatality Review Committee,FRC,Domestic Violence Fatality Review Committee,https://www1.nyc.gov/site/ocdv/press-resources/fatality-review-committee.page,,,,,,,,,false,false
NYC_GOID_000279,Active,Mayoral Office,"Mayor's Office of Sports, Wellness and Recreation",MOSWR,"Sports, Wellness, and Recreation, Mayor's Office of",https://www.nyc.gov/content/sports/pages/about-office-of-sports-wellness-and-recreation,Mayor's Office of Sports and Recreation,,Director,,,,,Chief of Staff,true,true
NYC_GOID_100011,Active,Division,Office of Data Analytics,ODA,"Data Analytics, Office of",https://www.nyc.gov/content/oti/pages/data-analytics,Mayor's Office of Data Analytics,MODA,Chief Analytics Officer,,,,https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer,Deputy Mayor for Operations,true,true
NYC_GOID_000148,Active,Mayoral Agency,Department of Investigation,DOI,"Investigation, Department of",https://www.nyc.gov/site/doi/index.page,,,Commissioner,Jocelyn Strauber,Jocelyn,Strauber,https://www.nyc.gov/site/doi/contact/contact-doi.page,Mayor,true,true
NYC_GOID_100017,Active,Division,Office of Nightlife,ONL,"Nightlife, Office of",https://www.nyc.gov/site/sbs/businesses/nightlife.page,,,Executive Director,Jeffrey Garcia,Jeffrey,Garcia,,Deputy Mayor for Economic Justice,false,false
NYC_GOID_000234,Active,State Government Agency,Kings County Public Administrator,KCPA,"Public Administrator, Kings County",https://www.nyc.gov/site/kcpa/index.page,,,Public Administrator,"Kerry D. Archer, ESQ",Kerry,Archer,https://www.nyc.gov/site/kcpa/contact/contact.page,,false,true
NYC_GOID_000374,Active,Mayoral Office,Mayor's Office of Management and Budget,OMB,"Management and Budget, Mayor's Office of",https://www.nyc.gov/site/omb/index.page,,,Director,Sherif Soliman,Sherif,Soliman,https://www.nyc.gov/site/omb/contact/contact.page,First Deputy Mayor,true,true
NYC_GOID_000168,Active,Elected Office,Bronx District Attorney's Office,,"District Attorney's Office, Bronx",https://www.bronxda.nyc.gov/,Bronx County District Attorney's Office,,District Attorney,Darcel D. Clark,Darcel,Clark,https://www.bronxda.nyc.gov/html/contact/contact.shtml,,true,true
NYC_GOID_000396,Active,Elected Office,Office of the Public Advocate,PUB ADV,"Public Advocate, Office of the",https://advocate.nyc.gov/,Office of the Public Advocate for the City of New York;Public Advocate,,Public Advocate,Jumaane Williams,Jumaane,Williams,https://advocate.nyc.gov/intake,,true,true
NYC_GOID_000252,Active,Mayoral Office,Mayor's Office for Economic Opportunity,NYC OPPORTUNITY,"Economic Opportunity, Mayor's Office for",https://www.nyc.gov/site/opportunity/index.page,,,Executive Director,Carson Hicks,Carson,Hicks,https://www.nyc.gov/site/opportunity/about/contact-us.page,Deputy Mayor for Economic Justice,true,true
NYC_GOID_000332,Active,Advisory or Regulatory Organization,New York City Watershed Protection and Partnership Council,WPPC,"Watershed Protection and Partnership Council, New York City",https://dos.ny.gov/new-york-city-watershed-program,,,,,,,,,false,false
NYC_GOID_000335,Active,Nonprofit Organization,New York Public Library,NYPL,"Public Library, New York",https://www.nypl.org/,,,President and CEO,Anthony W. Marx,Anthony,Marx,https://www.nypl.org/get-help/contact-us,,false,true
NYC_GOID_000194,Active,Nonprofit Organization,Flushing Meadows Corona Park Alliance,,Flushing Meadows Corona Park Alliance,https://allianceforfmcp.org/,,,Executive Director,Anthony Sama,Anthony,Sama,,,false,false
NYC_GOID_000392,Active,Advisory or Regulatory Organization,Procurement Policy Board,PPB,Procurement Policy Board,https://www.nyc.gov/site/mocs/regulations/ppb.page,,,,,,,,Office of the Mayor;Office of the New York City Comptroller,true,true
NYC_GOID_000026,Active,Elected Office,Office of the Borough President of The Bronx,,"Borough President, Bronx",https://bronxboropres.nyc.gov/,,,Bronx Borough President,Vanessa L. Gibson,Vanessa,Gibson,https://bronxboropres.nyc.gov/contact/,,true,true
NYC_GOID_000135,Active,Mayoral Agency,Department for the Aging,NYC AGING,"Aging, Department for the",https://www.nyc.gov/site/dfta/index.page,NYC Aging,DFTA,Commissioner,Lisa Scott-McKenzie,Lisa,Scott-McKenzie,https://www.nyc.gov/site/dfta/about/email-the-commissioner.page,Deputy Mayor for Health and Human Services,true,true
NYC_GOID_000018,Active,Advisory or Regulatory Organization,Banking Commission,,Banking Commission,https://www.nyc.gov/site/finance/about/banking-commission.page,,,,,,,,,false,false
NYC_GOID_000410,Active,Public Benefit or Development Organization,Residential Mortgage Insurance Corporation,REMIC,Residential Mortgage Insurance Corporation,https://www.nychdc.com/subsidiaries/remic,,,,,,,,,false,false
NYC_GOID_000266,Active,Mayoral Office,Mayor's Office of Criminal Justice,MOCJ,"Criminal Justice, Mayor's Office of",https://criminaljustice.cityofnewyork.us/,,,Director,Deanna Logan,Deanna,Logan,https://criminaljustice.cityofnewyork.us/contact-us/,First Deputy Mayor,true,true
NYC_GOID_000030,Active,Elected Office,Office of the Borough President of Staten Island,,"Borough President, Staten Island",https://www.statenislandusa.com/bp-office.html,,,Staten Island Borough President,Vito J. Fossella,Vito,Fossella,https://www.statenislandusa.com/contact.html,,true,true
NYC_GOID_000111,Active,Advisory or Regulatory Organization,Commission on Gender Equity,CGE,"Gender Equity, Commission on",https://www.nyc.gov/content/genderequity/pages/,,,Executive Director,Priya Nair,Priya,Nair,https://www.nyc.gov/site/genderequity/contact/contact.page,Deputy Mayor for Economic Justice,true,true
NYC_GOID_000159,Active,Mayoral Agency,Department of Youth and Community Development,DYCD,"Youth and Community Development, Department of",https://www.nyc.gov/site/dycd/index.page,,,Commissioner,Sandra Escamilla-Davies,Sandra,Escamilla-Davies,https://www.nyc.gov/site/dycd/about/contact/email-the-commissioner.page,Deputy Mayor for Health and Human Services,true,true
NYC_GOID_000344,Active,Mayoral Office,Office of the Administrative Justice Coordinator,AJC,"Administrative Justice Coordinator, Office of the",https://www.nyc.gov/site/ajc/index.page,,,Administrative Justice Coordinator,David B. Goldin,David,Goldin,https://www.nyc.gov/site/ajc/about/email-the-administrative-justice-coordinator.page,Chief Counsel to the Mayor and City Hall,true,true
NYC_GOID_000286,Active,Mayoral Office,Mayor's Office to Protect Tenants,MOPT,"Protect Tenants, Mayor's Office to",https://www.nyc.gov/content/tenantprotection/pages/,,,Director,Cea Weaver,Cea,Weaver,,Deputy Mayor for Housing and Planning,true,true
NYC_GOID_000391,Active,Public Benefit or Development Organization,Primary Care Development Corporation,PCDC,Primary Care Development Corporation,https://www.pcdc.org/,,,CEO,Louise Cohen,Louise,Cohen,,,false,false
NYC_GOID_000073,Active,Nonprofit Organization,Museum of the City of New York,MCNY,"City of New York, Museum of the",https://www.mcny.org/,,,Ronay Menschel Director and President,Stephanie Hill Wilchfort,Stephanie,Hill Wilchfort,,,false,false
