Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website
U.S. DOGE Service (fmr. USDS),Government,,Federal,Renamed from U.S. Digital Service; reorganized under DOGE. ~20 legacy staff from 200+. Runs software modernization projects; original user-centered digital delivery mission shifted. Temp org expires Jul 4 2026.,Government,Congressional appropriations (EOP); FY26 request $45M/150 staff,usds.gov
U.S. Tech Force (OPM),Government,Fellowships,Federal,"New cross-agency technology fellowship launched Dec 2025 by OPM, explicitly positioned as the replacement for the terminated Presidential Management Fellows program. Annual cohorts of 1,000 fellows in AI, cybersecurity, data science, and software engineering placed across federal agencies in 1-2 year positions. Large agencies to receive teams of 30-40 fellows. Pilot cohort spring 2026; full implementation by Sept 2026. NobleReach Foundation named as a founding partner.",Government,Federal agency appropriations; centrally administered by OPM,opm.gov
Utah Digital Government,Government,,State,Pioneer in digital government. Digital ID adopted by 40K in 3 months. Personalized citizen portal across agencies. Cybersecurity support to 100+ local entities.,Government,UT state + federal cyber grants,utah.gov
Washington Technology Solutions (WaTech),Government,,State,"Washington State's central IT agency leading the Digital Experience program including a Resident Portal roadmap for unified digital access across agencies, an AI Community of Practice, the state's first-ever Enterprise Privacy and Data Protection Policy, and AI Procurement Guidelines for legislative decision-making. Developed 16 new government websites in 2024. Published 2024-2026 strategic plan; new CTO Gretchen Peri appointed September 2025.",Government,WA state general fund + federal State and Local Cybersecurity Grant Program funds,watech.wa.gov
8VC (Joe Lonsdale),Investor,VC,"Federal,State,City","Venture capital firm with explicit govtech and defense tech investment thesis. Co-founded and backed OpenGov (acquired by Cox Enterprises for $1.8B in 2024). American Dynamism practice includes government software, defense, and infrastructure startups. Lonsdale is a prominent advocate for government modernization through private-sector technology.",Private,LP-funded VC; $6B+ AUM across multiple funds,8vc.com
Advantage Capital / InState Partners,Investor,Impact Investing,"State,City",St. Louis-based impact investor with InState Partners as a dedicated govtech business line (est. 2013). Combines investment capital with a proprietary 50-state government affairs network to help startups navigate procurement. First investor in PayIt; portfolio includes multiple state and local govtech companies. Three-year strategic partnership with CivStart to accelerate govtech funding. Has deployed $4B+ total across all funds.,Private,Tax credit-driven funds + traditional LP capital; $4B+ total deployed; InState Partners is dedicated govtech line,advantagecap.com
Andreessen Horowitz,Investor,VC,"Federal,State,City","Major VC with govtech portfolio primarily through American Dynamism practice targeting defense and government technology startups. Notable govtech investments include OpenGov ($1.8B exit to Cox Enterprises, 2024), Flock Safety ($658M raised, $7.5B valuation), and Skydio. Govtech is a meaningful but not exclusive focus - defense and national security dominate the American Dynamism portfolio.",Private,LP-funded; $42B+ AUM; American Dynamism Fund dedicated to defense and government tech,a16z.com
BarronKent Ventures,Investor,VC,"State,City","Sacramento-based family office and early-stage VC fund with an explicit and deep govtech focus - founded by principals with 18 years running a national GovTech consulting firm before transitioning to investing. Invests in early and growth-stage companies across govtech, healthcare technology, and digital services. Markets served include health and human services, transportation/tolling, licensing and regulatory, and accounting/financial systems. Active participant in CivStart ecosystem and State of GovTech convenings.",Private,Family office + LP-funded VC; undisclosed fund size; early to growth stage,barronkent.com
BV Investment Partners,Investor,PE,"State,City",Boston-based middle-market PE firm with a deliberate govtech investment thesis. Made initial minority investment in CivicPlus in 2019 - a local government website and citizen engagement platform - scaling it before its $290M exit to Insight Partners in 2021. Government technology is a named sector focus alongside tech-enabled business services.,Private,LP-funded PE; ~$3.9B total invested since 1983; govtech is named sector focus,bvlp.com
Commonweal Ventures,Investor,VC,"Federal,State,City","Early-stage VC fund investing in technology companies serving government customers with a focus on public safety and state/local government. Portfolio includes Multitude Insights (law enforcement collaboration tools), Deckard Technologies (AI-driven municipal tax compliance), and others serving SLED markets. Participated in Starbridge Series A (2025).",Private,LP-funded VC; undisclosed fund size; seed and early-stage focus on public safety and govtech,commonwealventures.com
Govtech Fund (Ron Bouganim),Investor,VC,"Federal,State,City","First venture capital fund dedicated exclusively to government technology startups, founded by Ron Bouganim. Makes seed-stage investments ($250K-$500K) in companies selling technology directly to government. ~$50M across two funds. Portfolio includes Mark43 (public safety), SeamlessDocs/GovOS (digital forms), SmartProcure (procurement intelligence), and Merit (verified credentials). Bouganim serves on board of Merit. Strong NASCIO and govtech conference presence.",Private,LP-funded VC; ~$50M AUM across two funds; seed stage ($250K-$500K checks),govtechfund.com
Govtech Ventures (Rachel Stern),Investor,VC,"State,City","Early-stage VC fund (est. 2024) dedicated exclusively to modernizing state and local government. Founded by Rachel Stern, who was the first investor in PayIt and co-founded InState Partners at Advantage Capital. Raising a $15M inaugural fund targeting pre-seed through seed-plus with LPs including govtech founders and family offices. Portfolio includes Polco, Streamline, and Ladris. Focused specifically on SLED market operators.",Private,LP-funded VC; ~$15M inaugural fund (fundraising 2024-2025); pre-seed to seed-plus stage,govtechventures.com
Great Hill Partners,Investor,PE,"State,City",Boston-based PE firm that built a deliberate govtech investment strategy. Hired Granicus co-founder Tom Spengler as Executive-in-Residence to source govtech deals. In 2025 led the majority recapitalization of Vision Government Solutions - property tax and appraisal software serving 900+ jurisdictions - alongside Weatherford Capital. Strong track record of govtech platform investments and exits.,Private,LP-funded PE; $12B+ total capital raised across funds; govtech is named vertical,greathillpartners.com
Kapor Capital,Investor,VC,"Federal,State,City",Oakland-based early-stage VC (est. 1999) investing in tech startups that close gaps of access for low-income communities and communities of color. Notable govtech investments include Promise (government payment modernization) and Aclima (air quality monitoring for regulators and municipalities). $224M+ AUM across multiple funds. Co-founder Mitchell Kapor is a longtime civic tech philanthropist. Portfolio of 170+ active investments with 4 unicorns and 6 IPOs.,Private,LP-funded VC; $224M+ AUM; Kapor Capital Fund III; seed stage focus,kaporcapital.com
Omidyar Network,Investor,Impact Investing,"Federal,State,City",Philanthropic investment firm that makes both grants and equity investments at the intersection of responsible technology and governance. Funds TechCongress and responsible technology initiatives with an explicit focus on ensuring the digital revolution serves shared power and prosperity. Has deployed $2B+ to 700+ organizations spanning nonprofits and for-profits. Spun out Luminate (grants) and retained the investing arm as Omidyar Network.,Private,Pierre and Pam Omidyar personal capital; ~$2B deployed across grants and equity investments,omidyar.com
Serent Capital,Investor,PE,"State,City","Growth-focused PE firm with a dedicated GovTech investment team. Five govtech platform investments in four years including BS&A Software (municipal ERP, acquired 2021), First Due (fire and EMS software), GovWorx (911 quality assurance), and Pondera Solutions (fraud detection for government benefits, exited to Thomson Reuters). Targets profitable, recurring-revenue cloud SaaS companies selling to state and local agencies.",Private,LP-funded PE; multiple funds since 2008; $3B+ total capital under management,serentcapital.com
Socium Ventures,Investor,VC,"State,City","Evergreen venture fund backed by Cox Enterprises with $600M+ committed across two funds (Fund II: $300M closed Oct 2024). Notable govtech investment includes Carbyne - next-generation 911 and emergency response platform - which was acquired by Axon in November 2025 for $625M. Cox Enterprises is also the majority acquirer of OpenGov ($1.8B, 2024), giving Socium strategic alignment with govtech through its parent. Portfolio also includes health, enterprise software, and AI companies.",Private,Cox Enterprises-backed evergreen fund; $300M Fund II (Oct 2024); $600M+ total committed,sociumventures.com
Weatherford Capital (Will Weatherford),Investor,Family Office,"State,City","Family-owned PE firm founded in 2015 by former Florida House Speaker Will Weatherford. Seven govtech platform investments since inception including PayIt (digital government payments), OpenGov ($1.8B exit to Cox Enterprises, 2024), SOMA Global (public safety), and BusPatrol (school bus safety). Closed $300M Fund II in 2025. Deep government relationships - rooted in Weatherford's legislative background - as a core value-add for portfolio companies navigating procurement.",Private,Family-owned PE; $300M Fund II closed 2025; $1B+ AUM across two funds,weatherfordcapital.com
Annie E. Casey Foundation,Philanthropy,,"State,City","Major funder of Georgetown Beeck Center. Focus on child welfare, juvenile justice, and family economic success; all areas where government delivery capacity is critical. Funds community-based organizations and government agencies improving child/family outcomes through data and technology.",Philanthropy,$3B+ endowment,aecf.org
Arnold Ventures,Philanthropy,,"Federal,State,City","Funds evidence-based government reform including Results for America and government performance initiatives. Focus on criminal justice, health, evidence-based implementation.",Philanthropy,John and Laura Arnold wealth,arnoldventures.org
Ballmer Group (Steve & Connie Ballmer),Philanthropy,,"State,City","Funds data-driven systems change for economic mobility. Key funder of GovEx/JHU Centers for Civic Impact. Supports USAFacts (gov data transparency platform Steve Ballmer personally launched). Large-scale state partnerships - $1B+ commitment to WA state early childhood. Focus on evidence-based government, workforce development, and using data to improve government services.",Philanthropy,Steve Ballmer personal wealth (fmr. Microsoft CEO),ballmergroup.org
Bloomberg Philanthropies: Government Innovation,Philanthropy,,"Federal,State,City","Major funder of city-level government innovation. Funds Bloomberg Harvard City Leadership Initiative, Bloomberg Center for Cities, What Works Cities (via Results for America), Data-Smart City Solutions, i-teams.",Philanthropy,Bloomberg LP profits; Michael Bloomberg personal wealth,bloomberg.org/government-innovation
Blue Meridian Partners,Philanthropy,Impact Investing,"Federal,State,City","Funder collaborative housed at Edna McConnell Clark Foundation that finds and scales solutions for economic mobility. Major Ballmer Group partner. Funds organizations at the intersection of nonprofit service delivery and government systems change. Relevant because many grantees work directly with government agencies on benefits delivery, workforce development, and child welfare systems.",Philanthropy,"Ballmer Group, Sergey Brin Family Foundation, Edna McConnell Clark Foundation + others; grants-based, not equity",bluemeridian.org
Chan Zuckerberg Initiative (CZI),Philanthropy,,"State,City","LLC blending grants and investments. Funded FUSE Corps. Community program supports housing, health, and economic development in San Mateo County/Bay Area. Note: CZI significantly restructured in Feb 2025 - cut social advocacy funding, DEI teams, and shifted focus to AI in science and education. State capacity relevance is narrower now than pre-2025.",Philanthropy,Mark Zuckerberg and Priscilla Chan personal wealth; operates as LLC,chanzuckerberg.com
Craig Newmark Philanthropies,Philanthropy,,"Federal,State,City","Founded by craigslist founder. Major funder of Aspen Policy Academy / Tech Policy Hub since its founding. Supports cybersecurity, trustworthy journalism, and public interest technology pipeline. Pragmatic, hands-on funder with focus on infrastructure for civic tech.",Philanthropy,Craig Newmark personal wealth,craignewmarkphilanthropies.org
Data.org,Philanthropy,"Advocacy,Digital Services & Consulting","Federal,State,City",Nonprofit building the field of data for social impact. Capacity Accelerator Network provides training and resources for organizations using data to improve public services. Inclusive Growth and Recovery Challenge funds data-driven solutions.,Philanthropy,Mastercard Center for Inclusive Growth + philanthropic,data.org
Democracy Fund (Omidyar Group),Philanthropy,,Federal,"Nonpartisan foundation focused on effective and accountable government as one of four pillars. Funds congressional modernization orgs (POPVOX Foundation, Lincoln Network), government transparency, and legislative branch capacity-building. $200+ grants/year. Doubling down on democracy defense in 2025-2026.",Philanthropy,Pierre and Pam Omidyar / Omidyar Group,democracyfund.org
Emerson Collective (Laurene Powell Jobs),Philanthropy,,"Federal,State,City","LLC (~$28B AUM) blending VC, philanthropy, and advocacy. Invested in OpenGov (pre-acquisition). Education reform (XQ Institute, College Track) and immigration policy are core verticals where EC works to reshape government systems. Founded Chicago CRED (gun violence intervention with government) and E Pluribus Unum (civic engagement in the South). Strong state and local policy advocacy capacity.",Philanthropy,Powell Jobs personal wealth; Waverley Street Foundation committed $3.5B over 10 years,emersoncollective.com
Ford Foundation,Philanthropy,,"Federal,State,City","Major funder of public interest technology ecosystem. Co-convenes PIT-UN. Funds Coding it Forward, FUSE Corps, Aspen Policy Academy, Data & Society, Ash Center endowment, PIT Infrastructure Fund.",Philanthropy,$16B endowment,fordfoundation.org
Gates Foundation,Philanthropy,,"Federal,State,City",Funds GovEx/JHU Centers for Civic Impact. Supports government data capacity for public health and education policy. K-12 and public health data systems work often intersects with state/local government capacity. Large-scale but government modernization is a secondary rather than primary focus.,Philanthropy,$67B+ endowment (largest private foundation),gatesfoundation.org
Google.org,Philanthropy,Corporate Philanthropy,"State,City","Google's philanthropic arm. Funded Decoded Futures AI capacity-building for NYC nonprofits ($1M grant). Supports AI for social good, digital skills training, and civic technology projects. Corporate partner for government AI pilots (e.g., Seattle, Boston traffic optimization).",Corporate Philanthropy,Google / Alphabet Inc.,google.org
Hewlett Foundation,Philanthropy,,"Federal,State,City","Co-convenes PIT-UN. Funds TechCongress, public interest technology infrastructure, and government performance programs.",Philanthropy,$12B+ endowment,hewlett.org
Irvine Foundation (James Irvine Foundation),Philanthropy,,State,California-focused funder. Supports FUSE Corps. Focus on economic and political inclusion in California; funds orgs that strengthen civic participation and government responsiveness at state and local levels.,Philanthropy,$2B+ endowment,irvine.org
Knight Foundation,Philanthropy,,City,"Invests in civic engagement, data-driven governance, and smart city strategies. $4M+ investment in 8 orgs using tech/data to strengthen public services. Funds Harvard Data-Smart City Solutions, GovEx/JHU, San Jose AI partnerships, and Knight Emerging City Champions fellowship (micro-grants for young civic innovators in 8 Knight resident communities). Focus on mid-size US cities.",Philanthropy,$3.5B+ endowment (Knight brothers / Knight Ridder),knightfoundation.org
Luminate (Omidyar Group),Philanthropy,,"Federal,State,City","Global foundation focused on civic empowerment, data and digital rights, financial transparency, and independent media. Funds orgs working on government transparency, open data, and citizen participation. Spun out of Omidyar Network's Governance & Citizen Engagement initiative in 2018.",Philanthropy,Pierre and Pam Omidyar / Omidyar Group,luminategroup.com
MacArthur Foundation,Philanthropy,,City,"Major funder of Civic Consulting Alliance ($6M+ since 2003). Supports government accountability, criminal justice reform, and community development orgs that work with local government. Also funds Data & Society and investigative journalism that surfaces government capacity issues.",Philanthropy,$8B+ endowment,macfound.org
Mastercard Center for Inclusive Growth / Mastercard Impact Fund,Philanthropy,Corporate Philanthropy,"Federal,State,City",Corporate philanthropy arm. Co-funds PIT-UN with Ford and Hewlett. Funds data.org and data-for-social-impact initiatives. Supports government digital inclusion and financial access programs.,Corporate Philanthropy,Mastercard Inc. corporate funding,mastercard.com/global/en/vision/who-we-are/center-for-inclusive-growth.html
New Profit,Philanthropy,Venture Philanthropy,"Federal,State,City",Pioneer venture philanthropy fund investing in social entrepreneurs tackling civic engagement and government service delivery. In 2024 invested $2.6M across 24 organizations. Build Investments provide $1.5M multi-year unrestricted grants paired with deal partners. Portfolio includes public service pipeline orgs like Latinas Represent.,Philanthropy,Donor-funded; raised $300M+ since 1998,newprofit.org
NextLadder Ventures,Philanthropy,Venture Philanthropy,"Federal,State,City","$1B+ initiative launched July 2025 by Ballmer Group, Gates Foundation, Stand Together, Valhalla Foundation, and John Overdeck. Invests in entrepreneurs building tech-enabled solutions helping low-income Americans navigate government systems and economic barriers. Uses a mix of grants, equity, and revenue-based financing over a 15-year horizon. Relevant to state capacity as it funds the interface layer between government benefits systems and residents.",Philanthropy,"$1B+ committed across founding coalition over 15 years; mix of grants, equity, and revenue-based financing",ballmergroup.org
Open Philanthropy,Philanthropy,,"Federal,State,City",Major funder of Niskanen Center (state capacity work) and immigration reform advocacy. Research-driven grantmaking. AI governance and policy is growing focus area. Funds GiveDirectly and evidence-based policy research that intersects with government delivery.,Philanthropy,Cari Tuna and Dustin Moskovitz (Facebook co-founder),openphilanthropy.org
Patrick J. McGovern Foundation,Philanthropy,,"Federal,State,City","Co-funds PIT Infrastructure Fund. Supports Coding it Forward, Govern for America, and orgs advancing responsible AI and data use in public sector.",Philanthropy,McGovern Foundation endowment,mcgovern.org
Pivotal Ventures (Melinda French Gates),Philanthropy,,"Federal,State,City","Co-funds PIT Infrastructure Fund. Supports Coding it Forward, Govern for America, and pathways for underrepresented technologists in government.",Philanthropy,Melinda French Gates personal wealth,pivotalventures.org
Public Interest Technology Infrastructure Fund (PIT Fund),Philanthropy,,"Federal,State,City","Pooled grantmaking vehicle housed at New Venture Fund. Dedicated to building the PIT ecosystem; funds talent pipeline orgs like Coding it Forward ($550K), Govern for America, #BlackTechFutures ($250K), AAAS AI fellowships ($250K), PIT hubs ($200K each), and Data & Society. Funded by Ford, Siegel, McGovern, Pivotal, Schmidt Futures.",Philanthropy,"Ford Foundation, Siegel, McGovern, Pivotal Ventures, Schmidt Futures",newventurefund.org
Raikes Foundation,Philanthropy,,"Federal,State,City","Co-funds PIT-UN. Founded by Jeff Raikes (fmr. Microsoft exec, fmr. Gates Foundation CEO). Supports education, youth development, and public interest technology pipeline programs.",Philanthropy,Raikes family wealth,raikesfoundation.org
Robin Hood Foundation,Philanthropy,,City,NYC's largest local poverty-fighting philanthropy. Seeded Decoded Futures AI capacity-building for nonprofits delivering public services.,Philanthropy,NYC donor base; annual galas,robinhood.org
Rockefeller Foundation,Philanthropy,,"Federal,State,City",Launched AI Readiness Project (Nov 2025) expanding to all 50 states. Funds state/local government AI capacity-building and digital inclusion.,Philanthropy,$5B+ endowment,rockefellerfoundation.org
Salesforce Foundation / Salesforce.org,Philanthropy,Corporate Philanthropy,"State,City",Funds Decoded Futures. Provides technology grants and discounted CRM to nonprofits delivering public services. Power of Us program provides 10 free Salesforce licenses to nonprofits. Increasingly relevant as governments and their nonprofit partners adopt Salesforce for case management.,Corporate Philanthropy,Salesforce Inc. (1-1-1 model),salesforce.org
Schmidt Futures,Philanthropy,,"Federal,State,City","Philanthropic initiative (Eric & Wendy Schmidt) making grants and investments at intersection of talent and technology. Funded Social Safety Net Product Studio, USDR, FAS, PIT-UN, benefits access modernization.",Philanthropy,Schmidt family wealth; operates as LLC,schmidtfutures.com
Siegel Family Endowment,Philanthropy,,"Federal,State,City","Committed $20M to PIT ecosystem. Co-funds PIT Infrastructure Fund. Supports Coding it Forward, Aspen Policy Academy, Data & Society, New America PIT.",Philanthropy,Siegel family wealth (Two Sigma co-founder),siegelendowment.org
Valhalla Foundation,Philanthropy,Venture Philanthropy,"Federal,State","Philanthropy focused on measurable improvement in children's lives through early childhood development, K-12 education, and data science. Co-founder of NextLadder Ventures. Invests in data-driven approaches to improving government-run systems particularly in education and child welfare. Collaborative philanthropy model emphasizing cross-funder coordination.",Philanthropy,Family foundation; undisclosed AUM,valhallafoundation.org
Aspen Policy Academy (fmr. Aspen Tech Policy Hub),Training,"Research,Advocacy","Federal,State,City","S&T Policy Training (3-week intensive), TELI exec program (5-week, 150+ alumni), Primer, and short courses training STEM professionals on policy impact.",Philanthropy,"Craig Newmark Philanthropies, Ford Foundation, Siegel Family Endowment",aspenpolicyacademy.org
Bloomberg Harvard City Leadership Initiative,Training,Research,"State,City",Executive education for mayors and senior city officials. Summer fellowships for Harvard grad students. Innovation track with Centre for Public Impact.,Philanthropy,Bloomberg Philanthropies,cityleadership.harvard.edu
Civic Tech Institute (Equitech Futures),Training,,"Federal,State,City","10-week fully funded cohort program training early-career professionals in data science, AI, and civic innovation. Certificate + 1-year alumni mentorship.",Philanthropy,Equitech Futures philanthropic partners,equitechfutures.com
Decoded Futures (Tech:NYC Foundation),Training,,City,"AI capacity-building for NYC nonprofits delivering public services. Cohort-based AI training, industry tech mentors, prototyping support, and grants ($5K-$100K/org).",Philanthropy,"Robin Hood, Google.org, Salesforce, OpenAI, Altman Foundation, AWS",decodedfutures.nyc
InnovateUS,Training,,"State,City","Delivers free, self-paced and live digital skills training (data, design, innovation, procurement) to public servants at all levels.",Philanthropy,Philanthropic grants,innovate-us.org
Partnership for Public Service: AI Government Leadership Program,Training,,Federal,"Cohort-based program training federal leaders on AI strategy, implementation, and governance. Expanded to two cohorts in 2025 with virtual option. Also runs AI Onboarding Program for 55 early-career federal technologists. AI intern cohort with Maryland.",Philanthropy,Philanthropic grants + earned revenue,aicenterforgovernment.org
Agile Six,Digital Services & Consulting,,Federal,"Public benefit corporation delivering human-centered digital services to federal agencies. Primary focus on VA digital services and benefits delivery, CDC pandemic readiness, and CMS Medicare modernization. Fully remote, values-driven culture.",Private,Federal government contracts,agile6.com
Bloom Works,Digital Services & Consulting,,"Federal,State","Digital services consultancy delivering user research, service design, engineering, and content strategy to government agencies. Focus on healthcare.gov and social services modernization. Woman-owned small business.",Private,Federal and state government contracts,bloomworks.digital
Center for Civic Futures (CCF) / AI Readiness Project,Digital Services & Consulting,"Community,Research,Training",State,"Nonpartisan nonprofit running the AI Readiness Project. Convenes State Chief AI Officer Community of Practice (30+ states, expanding to 50). Government AI Knowledge Hub launching 2026. Structured pilots for responsible AI in public service.",Philanthropy,Rockefeller Foundation ($500K+ for AI Readiness); philanthropic grants,centerforcivicfutures.org
Civic Consulting Alliance,Digital Services & Consulting,Research,City,"Chicago-based nonprofit (est. 1985) providing $15-30M/year in pro bono consulting to city and county government. Mobilizes corporate partners (BCG, Deloitte, McKinsey, etc.) for systems-level projects on economic development, education, safety, and health. $200M+ total investment facilitated.",Philanthropy,"MacArthur Foundation, corporate pro bono partners, philanthropic grants",ccachicago.org
CivicActions,Digital Services & Consulting,,"Federal,State","Twenty years delivering digital services to federal and state agencies — open-source by default and outcomes-focused. Current portfolio includes healthcare.gov, medicare.gov, cms.gov, nsf.gov, and va.gov, with deep practice in agile delivery, user-centered design, accessibility compliance, DevSecOps, and responsible AI-enabled modernization.",Private,Federal and state government contracts,civicactions.com
Civilla,Digital Services & Consulting,Research,"State,City","Nonprofit design studio dedicated to changing how public-serving institutions work. Human-centered design approach to redesigning government forms, processes, and services. Redesigned Michigan's public benefits application (recognized by Harvard Innovations in Government). Partners with Beeck Center.",Philanthropy,Philanthropic grants + earned revenue from government partnerships,civilla.org
Code for America,Digital Services & Consulting,"Advocacy,Fellowships","Federal,State,City","Leading civic tech nonprofit (15+ yrs). Builds digital tools and changes policies improving criminal justice, safety net, and tax systems. Hosts annual Summit.","Government,Philanthropy",Philanthropic grants + government contracts,codeforamerica.org
Harvard Government Performance Lab (GPL),Digital Services & Consulting,Fellowships,"State,City","Embeds full-time fellows in state/local government agencies for 12-36 month reform projects on child welfare, criminal justice, homelessness, housing, and procurement. 112 jurisdictions across 38 states. 278+ projects shifting $7B+ in government spending. Pro bono. Part of Harvard Kennedy School.","University,Philanthropy","Bloomberg Philanthropies, Rockefeller Foundation + Harvard Kennedy School",govlab.hks.harvard.edu
mRelief,Digital Services & Consulting,Advocacy,City,"Nonprofit building tools to simplify access to government benefits. Text and web-based screeners help residents determine eligibility for SNAP, Medicaid, and other programs. Grew out of Chi Hack Night. Partners with city governments and social service orgs.",Philanthropy,Philanthropic grants,mrelief.com
Nava PBC,Digital Services & Consulting,,"Federal,State","Public benefit corporation delivering agile software development, user-centered design, and cloud engineering to government agencies. Built Healthcare.gov fixes and VA.gov. ~200 employees focused exclusively on government digital services.",Private,Federal and state government contracts,navapbc.com
Partners for Public Good (PPG),Digital Services & Consulting,"Research,Training","State,City","Independent nonprofit (launched Mar 2025) spun out of Harvard GPL's procurement research initiative after a decade of incubation. Helps state and local governments improve procurement, staffing, digital infrastructure, and budgeting. Runs Procurement Excellence Network (2,000+ government officials across all 50 states). $5.4B in public spending affected. 200+ local jurisdictions served.",Philanthropy,Bloomberg Philanthropies + philanthropic grants,partnersforpublicgood.org
Rockefeller Foundation: State AI Technical Assistance,Digital Services & Consulting,,State,"Beyond grantmaking, Rockefeller directly provides strategic planning support and technical assistance to states on AI adoption. Funded Maryland Anthropic/Percepta partnership. Funds CCF AI Readiness Project. $18M+ in AI-related investments to date.",Philanthropy,Rockefeller Foundation ($5B+ endowment),rockefellerfoundation.org
Skylight Digital,Digital Services & Consulting,,Federal,"Digital government consultancy delivering agile procurement support, user-centered design, cloud/DevOps, and API-first architecture to federal agencies. HUBZone-certified small business.",Private,Federal and state government contracts,skylight.digital
U.S. Digital Response (USDR),Digital Services & Consulting,Advocacy,"State,City","Matches 7,000+ volunteer technologists with governments needing pro bono technical assistance on digital services, procurement, and talent. 300+ projects. Runs Digital Service Champions Awards.",Philanthropy,"Schmidt Futures, philanthropic grants",usdigitalresponse.org
VotingWorks,Digital Services & Consulting,,"State,City","Nonpartisan nonprofit building open-source, publicly owned voting machines and election auditing software. Only nonprofit building certified voting systems in the US. Deployed in multiple states.",Philanthropy,Philanthropic grants; nonprofit; only certified nonprofit voting system builder in US,voting.works
120Water,GovTech,,"Federal,State,City","Platform helping municipalities manage water safety testing, lead service line inventories, and EPA compliance. Sells directly to water utilities and government agencies. Over 1,300 communities served. $43M raised.",VC-backed; Growth stage,"$57.6M total raised; $43M Series B (Jan 2024) led by Edison Partners; 1,300+ communities served",120water.com
Binti,GovTech,,"State,City","Software for child welfare agencies managing foster care approvals, placements, and adoptions. Reduces paperwork and accelerates family matching. Sells directly to county and state child welfare departments.",VC-backed; Growth stage,Y Combinator (W17) + follow-on; $27M+ total raised,binti.com
Biobot Analytics,GovTech,,"Federal,State,City",Wastewater epidemiology platform helping government public health agencies monitor disease prevalence at population level. MIT-origin. Contracts with CDC and local health departments.,VC-backed; Growth stage,Y Combinator + $20M Series A (2022); $30M+ total raised; CDC contracts,biobot.io
CivicReach,GovTech,,"State,City",AI-powered government customer service platform automating resident inquiries and improving service delivery across multiple channels.,VC-backed; Seed stage,"$310K raised; NC Tweener Fund, Flybridge, NC Idea; founded 2024",civicreach.com
CiviForm,GovTech,,"State,City","Open-source unified benefits application platform built by and for governments. Developed by the City of Seattle with Google.org Fellows and Exygy during the pandemic; now adopted by Seattle, Charlotte NC, Bloomington IN, the State of Arkansas, and Miami-Dade County. Lets residents reuse their information to apply for multiple benefit programs at once, cutting average application time from 30 to 7 minutes. Governments use a no-code interface to author and manage program applications without vendor dependency - the codebase is collectively owned and governed by the adopting governments. Named Time Magazine Best Inventions of 2025. 50,000+ applications processed in Seattle alone. Stewarded by Exygy (Certified B Corp) with Google.org grant funding.",Philanthropy,Google.org grant funding to Exygy; free and open-source for adopting governments; Seed/Early stage,civiform.us
Cyvl.ai,GovTech,,"State,City","Vehicle-mounted sensors and AI software enabling governments to monitor and manage physical infrastructure. Transforms any vehicle into a data collection platform for road conditions, signage, and urban planning. Sells to DOTs and municipal public works departments.",VC-backed; Early stage,$9.2M total raised; $6M round (Mar 2024) led by Companyon Ventures; DOT and municipal clients,cyvl.ai
Daupler,GovTech,,City,Response management platform for public works and utility departments replacing clipboard-based workflows with digital dispatch and field operations tools. Mobile-first interface for managing service requests and work orders. One of the fastest-growing govtech companies by traffic and employment growth (2023-2025).,VC-backed; Early stage,Undisclosed early-stage funding; high growth trajectory 2023-2025,daupler.com
Elucd,GovTech,,"State,City",Near-real-time survey platform measuring how residents perceive government and public safety. Data-driven community trust analytics sold directly to police departments and city governments.,VC-backed; Seed stage,Govtech Fund + Luminate + others; $120K+ disclosed; seed stage,elucd.com
Findhelp (fmr. Aunt Bertha),GovTech,,"State,City","Social care technology platform (est. 2010) connecting residents to government and community benefit programs through a unified search and referral system. Partners directly with state and local government agencies to build resources databases, manage closed-loop referrals, and track outcomes. Notable contracts include Missouri DESE (250,000+ families), state Medicaid agencies, and county health departments. Passes capacity test: gives government workers and residents better tools to navigate and deliver existing benefit programs - augments caseworkers rather than replacing them.",VC-backed; Growth stage,Raised $25M+ total; Series B and beyond; B Corp certified public benefit corporation; government and health system contracts,findhelp.org
GovWell,GovTech,,City,"Software for streamlining government permitting, licensing, and code enforcement processes. Unlike PermitFlow (which sells to contractors), GovWell sells directly to local government agencies including building departments, planning/zoning, fire, and public works.",VC-backed; Seed stage,"$6.5M total raised; seed round (2024) from Work-Bench, Bienville Capital, Fractal Software; 30+ states",govwell.com
Hazel Analytics,GovTech,,"State,City","Platform aggregating public health inspection data (restaurants, pools, childcare) across jurisdictions for health departments. Helps government environmental health agencies prioritize inspections and track compliance. Used by multiple state and county health departments.",VC-backed; Early stage,Undisclosed early-stage funding; multiple state and county health department deployments,hazelanalytics.com
Holly,GovTech,,"State,City","AI-powered platform modernizing government hiring. Automates job description creation with 45,000+ templates, provides real-time salary benchmarking, and reduces government hiring cycles that average 135 days. Addresses ~1M vacant government positions nationwide.",VC-backed; Early stage,"J2 Ventures + early-stage investors; undisclosed total; 45,000+ job description templates",holly.co
PayIt,GovTech,,"State,City","Digital payment and services platform enabling residents to transact with government (DMV, property tax, utilities) via mobile. Revenue model based on transaction fees, often at no cost to the agency. $190M+ raised.",VC-backed; Mature stage,"Insight Partners, Weatherford Capital; $190M+ total raised; transaction fee model",payit.com
